Simulation,Terrain,Orientation,NumberOfFloors,FloorHeight,Shading,EnergyStandard,HVAC-System,ServiceHotWater,BuildingSystemVintage,Open Office: Heating Setpoint,Open Office: Cooling Setpoint,Open Office: ACH,Open Office: PPA,Meeting: Heating Setpoint,Meeting: Cooling Setpoint,Meeting: ACH,Meeting: PPA,Volume [m³],Area [m²],Construction Area [%],Window to Wall Ratio North [%],Window to Wall Ratio East [%],Window to Wall Ratio South [%],Window to Wall Ratio West [%],HVAC-System Capacity [kW],Baseboard Capacity Sum [kW],EUI [kWh/m²a],EUI Heating [kWh/m²a],EUI Electricity [kWh]
Simulation591,City,127,2,3.86,External-Shading,GEG,ASHPBaseboard,Gas_TanklessHeater,2016,22.2,26,5.4,0.15,23.2,25.7,5.7,0.34,15499.84769,4015.504584,5.865123,13.85,25.69,13.85,25.69,578.013366,1446.23936,103.61,50.205,53.404
Simulation592,Suburbs,28,5,3.31,Low-SHGC-Value,Passive,BoilerBaseboard,Electric_WaterHeater,2013,23.4,25.8,4,0.06,20.1,26.6,6,0.35,37405.25643,11300.6817,5.611138,37.17,29.86,37.17,29.86,1345.71213,1794.319889,173.99,120.732,53.258
Simulation593,Urban,82,9,2.86,External-Shading,GEG,DHWBaseboard,Electric_WaterHeater,2019,22.8,25.4,4.2,0.14,23.3,24.8,6.7,0.15,44734.09606,15641.29233,4.932121,16.43,18.11,16.43,18.11,1567.000284,2173.978219,136.68,81.681,54.999
Simulation596,Suburbs,166,6,4.04,Low-SHGC-Value,NZEB,BoilerBaseboard,Gas_TanklessHeater,1980_2004,21.1,25.6,4.6,0.18,20.5,26.3,5.4,0.48,59344.37821,14689.20253,4.395208,27.54,21.22,27.54,21.22,1674.58218,2174.39182,154.626,98.284,56.342
Simulation597,City,76,2,3.58,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2019,23,24.3,5,0.1,23.4,25.4,5.8,0.26,26113.51896,7294.27904,4.703742,49.67,66.72,49.67,66.72,896.594823,2178.023294,95.301,43.319,51.982
Simulation600,Country,144,2,3.36,External-Shading,Passive,ASHPBaseboard,Gas_TanklessHeater,2007,22.6,25.5,4,0.09,20.2,26.3,6,0.39,13944.24644,4150.073346,6.944353,20.44,19.41,20.44,19.41,580.243107,1358.68,106.495,51.81,54.684
Simulation601,Suburbs,54,9,3.57,External-Shading,NZEB,BoilerBaseboard,Electric_WaterHeater,2010,22.9,25.1,4,0.18,20.5,26,6.1,0.32,59648.0508,16708.13748,4.675151,29.11,37.43,29.11,37.43,1931.05117,2511.808882,158.431,102.929,55.502
Simulation603,Country,3,8,3.91,Low-SHGC-Value,GEG,DHWBaseboard,Electric_TanklessHeater,2010,23.9,25.9,4.5,0.17,21.5,26.4,7,0.24,30984.56053,7924.440033,6.267513,25.26,19.25,25.26,19.25,1230.935328,1677.76021,216.159,160.807,55.351
Simulation604,City,151,6,3,External-Shading,NZEB,DHWBaseboard,Electric_TanklessHeater,2007,23.3,25.7,4.2,0.17,23,26.9,5.6,0.35,42898.88196,14299.62732,4.582557,33.51,23.57,33.51,23.57,1415.8923,1957.071248,122.212,67.612,54.599
Simulation605,Suburbs,105,9,4.07,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2016,23.9,24.2,4.4,0.06,22.7,26.3,6.9,0.32,69411.843,17054.50688,4.557262,49.16,68.76,49.16,68.76,2161.625779,5269.238238,98.747,42.597,56.15
Simulation606,Urban,43,7,3.89,External-Shading,Passive,ASHPBaseboard,Gas_TanklessHeater,2016,22.6,25.4,4.4,0.06,20.9,26.1,5.9,0.29,80663.65338,20736.15768,4.11515,68.31,48.38,68.31,48.38,2074.551968,4648.758254,84.495,28.404,56.091
Simulation607,Urban,27,2,2.9,External-Shading,NZEB,BoilerBaseboard,Electric_WaterHeater,2013,23.2,25.6,6,0.13,23.7,24,6.7,0.26,9182.915032,3166.522425,7.264318,55.62,45.82,55.62,45.82,472.36712,633.405309,222.29,167.991,54.299
Simulation608,Suburbs,41,4,3,External-Shading,Passive,DHWBaseboard,Electric_TanklessHeater,2016,22.8,25.1,5.9,0.09,22.1,25.2,6.9,0.22,27473.7321,9157.9107,5.25497,57.95,46.82,57.95,46.82,926.112276,1292.385579,134.687,79.205,55.482
Simulation610,Suburbs,8,8,3.78,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_WaterHeater,1980_2004,24,24,4.7,0.18,22.9,24.7,6.2,0.34,32676.78838,8644.65301,6.542953,65.41,47.5,65.41,47.5,1282.46292,1737.756497,199.197,142.789,56.407
Simulation611,Urban,32,10,2.9,External-Shading,Passive,ASHPBaseboard,Electric_WaterHeater,1980_2004,21.2,25.4,5,0.18,22.1,25.1,6.8,0.42,75339.67254,25979.19743,4.273801,60.76,41.09,60.76,41.09,2028.541643,4234.644759,70.016,14.61,55.406
Simulation612,Urban,58,4,3.18,External-Shading,Passive,BoilerBaseboard,Gas_TanklessHeater,2016,21.4,25.4,5,0.13,23.2,24.6,5.4,0.35,28430.35472,8940.36312,5.44629,41.9,62.9,41.9,62.9,937.73334,1209.795459,142.097,87.013,55.083
Simulation613,Urban,73,7,3.7,External-Shading,GEG,ASHPBaseboard,Electric_WaterHeater,2010,23.6,24,4.5,0.14,20.4,24.3,6.8,0.35,50633.05147,13684.6085,4.648296,19.61,26.54,19.61,26.54,1687.06536,4132.128129,96.553,40.828,55.725
Simulation614,Urban,2,7,4.21,External-Shading,GEG,ASHPBaseboard,Electric_TanklessHeater,2007,22,25.7,4.1,0.16,23.5,24.9,6,0.15,55587.00242,13203.56352,4.6454,43.13,36.3,43.13,36.3,1865.840584,4569.356192,97.917,42.822,55.094
Simulation616,Urban,22,2,3.09,External-Shading,Passive,ASHPBaseboard,Electric_WaterHeater,2019,21.6,24.4,4.2,0.17,20.5,24.9,6.7,0.17,10580.10379,3423.98181,7.606729,22.14,16.81,22.14,16.81,457.747742,1014.949486,98.369,46.414,51.956
Simulation617,Suburbs,135,4,3.77,External-Shading,Passive,BoilerBaseboard,Gas_WaterHeater,1980_2004,22,24,5.9,0.18,24,26.2,5,0.27,25309.12667,6713.2962,6.071264,48.18,64.95,48.18,64.95,931.25151,1226.507019,181.073,124.727,56.345
Simulation618,Country,57,7,3.35,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,2010,21.4,24,4.8,0.16,22.7,27,5.2,0.33,40676.19151,12142.14672,5.204951,17.27,22.82,17.27,22.82,1376.23675,3107.885952,87.633,32.506,55.128
Simulation619,Suburbs,82,8,2.94,External-Shading,NZEB,ASHPBaseboard,Gas_WaterHeater,2013,22.3,24.9,5.2,0.13,20.6,24.2,5.2,0.43,55706.64062,18947.83694,4.176717,15.75,23.49,15.75,23.49,1643.425431,3701.261654,78.057,21.738,56.318
Simulation620,Suburbs,107,8,4.25,External-Shading,NZEB,DHWBaseboard,Gas_TanklessHeater,1980_2004,23.9,25.3,6,0.19,22,26.1,5.7,0.33,54589.8067,12844.6604,5.129424,36.5,41.2,36.5,41.2,1838.64552,2536.039109,176.41,121.358,55.052
Simulation621,Country,73,6,4.37,External-Shading,Passive,ASHPBaseboard,Electric_WaterHeater,2010,23.9,24.7,6,0.13,22.2,25.1,6.2,0.17,36158.23089,8274.194712,6.339935,18.66,23.13,18.66,23.13,1313.119026,3390.275904,114.051,60.547,53.503
Simulation622,Suburbs,24,3,3.9,External-Shading,NZEB,BoilerBaseboard,Electric_WaterHeater,1980_2004,21.9,25.7,5.1,0.13,23.9,25,5.6,0.17,19244.22739,4934.41728,6.050089,62.46,48.62,62.46,48.62,782.18519,1037.97292,216.67,164.662,52.008
Simulation624,Suburbs,64,4,3.35,External-Shading,NZEB,ASHPBaseboard,Electric_TanklessHeater,2007,22.7,25.7,5.5,0.09,23,26,5.5,0.39,35582.41196,10621.61551,4.458961,18.13,21.1,18.13,21.1,1175.396236,2793.632449,92.385,38.139,54.246
Simulation625,City,6,7,4.1,Low-SHGC-Value,GEG,DHWBaseboard,Electric_WaterHeater,1980_2004,23.8,25.5,4.4,0.08,22.4,26.6,5.6,0.25,33013.87725,8052.165184,5.898534,23.57,17.32,23.57,17.32,1252.312092,1715.072979,226.275,170.777,55.499
Simulation626,Country,8,2,3.93,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_TanklessHeater,2010,23.3,25.5,4.8,0.07,21.7,26,6.9,0.45,12496.7397,3179.831985,7.634949,40.61,36.84,40.61,36.84,581.173476,791.782796,237.092,182.886,54.205
Simulation627,Urban,139,6,2.99,External-Shading,NZEB,ASHPBaseboard,Electric_TanklessHeater,2019,21.8,25.8,5.8,0.19,22.2,25.9,5.9,0.3,32263.88611,10790.59736,4.920903,22.06,16.16,22.06,16.16,1101.173711,2458.917956,82.945,27.591,55.354
Simulation629,Urban,66,2,4.48,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_WaterHeater,2013,23.3,25.9,5.7,0.05,23.9,26.3,5,0.26,16966.01088,3787.056,6.639282,14.28,29.17,14.28,29.17,620.88282,844.583321,225.128,174.345,50.782
Simulation630,Suburbs,104,6,3.91,Low-SHGC-Value,GEG,ASHPBaseboard,Electric_TanklessHeater,2007,23.8,25.6,5.5,0.14,21.8,24.5,5.8,0.22,44445.61984,11367.1662,4.523693,50.67,65.11,50.67,65.11,1458.996142,3571.784662,104.438,47.76,56.679
Simulation631,Suburbs,54,5,4.33,External-Shading,NZEB,DHWBaseboard,Gas_TanklessHeater,2016,22,24.2,4.9,0.07,21.4,25.4,5.8,0.25,60693.94809,14017.07808,4.182074,49.23,70.67,49.23,70.67,1613.809836,2213.887499,137.428,81.44,55.988
Simulation632,Urban,140,2,2.92,Low-SHGC-Value,Passive,ASHPBaseboard,Electric_WaterHeater,2019,23,25.3,5.1,0.13,22.8,26.8,5.3,0.49,15147.16969,5187.38688,6.197557,21.54,11.2,21.54,11.2,586.221494,1420.16907,94.449,41.187,53.263
Simulation633,Country,91,6,3,External-Shading,GEG,DHWBaseboard,Gas_WaterHeater,2007,21.4,24.8,4.2,0.05,20.2,25.7,5.4,0.5,43443.12588,14481.04196,4.247002,18.79,22.69,18.79,22.69,1265.1447,1756.188992,115.634,59.219,56.415
Simulation634,Urban,37,4,4.06,Low-SHGC-Value,GEG,BoilerBaseboard,Electric_WaterHeater,1980_2004,22.8,25.7,4.5,0.13,20.6,25.5,5.7,0.4,24075.15669,5929.84155,6.458806,44.95,32.03,44.95,32.03,907.94238,1191.681028,237.071,183.58,53.491
Simulation635,City,26,6,2.95,External-Shading,NZEB,DHWBaseboard,Electric_TanklessHeater,2010,21.6,25,4.7,0.2,22.5,24.2,6.3,0.42,49927.78719,16924.67363,4.150286,33.27,28.44,33.27,28.44,1394.582364,1948.715524,108.057,52.128,55.929
Simulation636,Suburbs,118,3,3.73,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_TanklessHeater,2016,21.4,24.6,4.4,0.18,22.6,26.1,6.9,0.37,29459.4372,7897.97244,4.927935,56.1,65.73,56.1,65.73,961.736028,1316.138261,154.417,98.715,55.701
Simulation637,Suburbs,154,3,3.67,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_TanklessHeater,2016,21.4,24.3,4,0.12,21.2,25.6,6.9,0.46,22723.29751,6191.6342,5.559531,24.83,19.07,24.83,19.07,754.912896,1032.207484,157.723,102.977,54.746
Simulation638,City,92,3,3.46,External-Shading,Passive,DHWBaseboard,Gas_TanklessHeater,1980_2004,23.2,25,5.3,0.15,21.6,24.2,6.4,0.41,20579.11812,5947.722,6.220064,16.83,25.63,16.83,25.63,731.789532,1010.060972,154.165,100.784,53.38
Simulation639,Suburbs,109,7,3.08,External-Shading,GEG,DHWBaseboard,Electric_TanklessHeater,2004,23.5,25.5,4.6,0.17,20.2,25.1,6.7,0.44,34338.4442,11148.84552,5.391207,10.95,24.25,10.95,24.25,1157.564832,1616.709233,132.072,77.244,54.829
Simulation640,Suburbs,173,7,3.94,Low-SHGC-Value,GEG,BoilerBaseboard,Electric_WaterHeater,1980_2004,22.5,24.2,4.5,0.09,21.4,26.8,5.4,0.19,32921.90864,8355.814376,5.658696,42.59,20.38,42.59,20.38,1202.71432,1587.515966,231.47,175.105,56.366
Simulation641,Suburbs,106,2,3.33,Low-SHGC-Value,GEG,BoilerBaseboard,Electric_TanklessHeater,2004,23,24.1,5.5,0.16,22.1,26.2,5.6,0.39,17213.99663,5169.368358,5.215596,14.95,21.94,14.95,21.94,632.74184,843.360689,198.927,148.268,50.66
Simulation642,Urban,64,9,3.65,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_TanklessHeater,2010,22.5,24.6,4.3,0.19,21.1,25.8,5.8,0.44,65183.40061,17858.46592,4.664215,50.04,64.56,50.04,64.56,1951.67724,2668.927675,139.507,84.084,55.423
Simulation643,Urban,154,5,3.72,External-Shading,NZEB,ASHPBaseboard,Gas_WaterHeater,2019,23.4,25.4,4.8,0.07,23.9,26.1,5.1,0.44,30438.95442,8182.514628,5.182376,23.12,16.96,23.12,16.96,1112.563963,2960.070414,103.09,47.736,55.354
Simulation644,Suburbs,81,3,3.01,Low-SHGC-Value,NZEB,BoilerBaseboard,Electric_WaterHeater,2010,21.2,25.8,5.6,0.14,20.4,25.5,5.4,0.38,23998.2183,7972.83,5.090718,46.82,59.92,46.82,59.92,850.52873,1108.06356,152.076,100.49,51.587
Simulation645,Urban,155,3,4.34,Low-SHGC-Value,GEG,ASHPBaseboard,Electric_TanklessHeater,2016,23.3,25.9,5.2,0.16,23.7,24,5.6,0.23,40127.93227,9246.067344,4.451095,29.27,21.96,29.27,21.96,1272.335852,3379.094443,102.931,51.126,51.805
Simulation647,Suburbs,33,5,3.79,External-Shading,GEG,ASHPBaseboard,Gas_TanklessHeater,pre_1980,22.8,25,4.4,0.11,22.3,24.3,6.6,0.23,31912.78843,8420.2608,5.200206,62.98,54.34,62.98,54.34,1209.29179,2804.81483,104.511,48.092,56.42
Simulation648,Urban,21,8,3.15,External-Shading,Passive,BoilerBaseboard,Gas_TanklessHeater,2010,23.8,24.1,4.8,0.08,20.7,26.2,6.9,0.34,43158.44338,13701.09314,5.87391,61.87,48.88,61.87,48.88,1570.11195,2052.503954,160.938,107.274,53.664
Simulation649,Suburbs,87,6,4.22,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2007,21.1,25.5,4.2,0.11,21.8,25.5,6.8,0.46,36737.9098,8705.66583,5.59986,52.48,65.27,52.48,65.27,1309.366753,2879.4882,106.152,50.248,55.904
Simulation650,Country,164,5,3.6,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2007,23.6,24.7,5.2,0.18,23.3,26,6.1,0.47,31807.09141,8835.303168,5.271161,22.72,15.21,22.72,15.21,1124.030458,2957.644137,101.422,45.554,55.868
Simulation651,City,13,8,3.19,Low-SHGC-Value,Passive,BoilerBaseboard,Electric_TanklessHeater,2007,23.1,25.3,5.7,0.18,22.1,26.8,6.3,0.31,41248.61446,12930.60014,5.502474,23.29,16.33,23.29,16.33,1425.42028,1913.266387,152.604,97.861,54.743
Simulation653,Suburbs,83,5,3.17,External-Shading,NZEB,ASHPBaseboard,Gas_WaterHeater,2016,23.5,24.8,5.9,0.08,23.4,24.3,5.7,0.37,21133.0794,6666.58656,5.903447,45.66,59.62,45.66,59.62,893.383475,2291.711539,97.761,43.14,54.621
Simulation654,City,152,4,4.47,External-Shading,Passive,ASHPBaseboard,Gas_TanklessHeater,pre_1980,23.1,24.8,5.4,0.15,21.3,25.4,5.1,0.24,25509.09875,5706.7335,6.555844,29.04,14.65,29.04,14.65,913.351509,2367.437943,110.31,54.219,56.091
Simulation655,City,122,4,3.84,External-Shading,Passive,BoilerBaseboard,Gas_TanklessHeater,pre_1980,22,25.1,4.3,0.13,22.9,24.4,6.9,0.31,28502.37082,7422.4924,6.488902,20.04,24.58,20.04,24.58,1088.80635,1450.637518,201.098,147.889,53.209
Simulation657,Suburbs,145,9,4.3,External-Shading,NZEB,BoilerBaseboard,Electric_TanklessHeater,2004,23.6,25.7,5.2,0.15,22.6,26.7,6.1,0.26,27968.49,6504.3,7.127342,25.81,14.05,25.81,14.05,1267.68393,1685.593083,309.734,254.333,55.401
Simulation658,Urban,117,2,3.47,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_WaterHeater,2016,21.1,25.1,4.2,0.08,21.9,24.2,6.6,0.34,14285.42332,4116.836691,6.257013,18.43,23.17,18.43,23.17,535.831404,731.96151,175.379,122.097,53.282
Simulation659,City,73,5,4.27,External-Shading,GEG,ASHPBaseboard,Electric_TanklessHeater,1980_2004,22.1,24.9,6,0.19,20.9,25.3,6.3,0.33,39195.58077,9179.29292,4.995969,19.74,24.85,19.74,24.85,1340.142988,3225.679736,99.074,44.54,54.535
Simulation660,Suburbs,34,7,3.96,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,2004,23.4,24.9,5.4,0.15,21.6,26.7,5.1,0.37,75679.34306,19110.94522,3.872165,27.93,17.12,27.93,17.12,2059.779349,5295.044305,87.258,31.698,55.56
Simulation662,City,38,6,4.08,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,1980_2004,21.8,24.6,4.6,0.11,23,25.3,6.9,0.15,26456.95584,6484.548,6.522383,66.97,46.01,66.97,46.01,1040.247135,2286.841224,107.83,53.23,54.6
Simulation663,Urban,16,5,2.92,External-Shading,NZEB,ASHPBaseboard,Electric_TanklessHeater,2019,21.7,24.6,5.8,0.12,20.8,25.8,6.1,0.35,17438.26336,5972.008,6.470046,30.01,20.88,30.01,20.88,739.442244,1637.302834,92.134,36.967,55.167
Simulation664,Country,55,1,2.86,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2010,22.9,24.6,5.3,0.19,22,25.3,6.6,0.44,14680.00014,5132.86718,5.200862,16.31,21.08,16.31,21.08,660.04572,1608.506889,100.928,51.006,49.922
Simulation666,Urban,123,8,4.46,External-Shading,NZEB,BoilerBaseboard,Gas_TanklessHeater,2004,23.3,25.4,5.1,0.06,20.8,26.6,5.3,0.47,57572.8499,12908.71074,4.786034,20.09,27.91,20.09,27.91,1982.77225,2661.909907,214.466,157.213,57.255
Simulation667,Urban,104,9,3.04,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,2010,22.1,24.2,4.5,0.2,21.5,25.1,6.8,0.42,56087.92582,18449.9756,4.423564,17.14,21.95,17.14,21.95,1743.285801,4035.773737,78.301,22.09,56.212
Simulation668,Suburbs,42,10,3.51,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2004,23.5,25.8,5.2,0.18,23.4,26.2,6.6,0.28,66226.07662,18867.8281,4.785127,39.53,25.37,39.53,25.37,2206.260932,5714.341288,91.949,35.604,56.345
Simulation669,Suburbs,40,6,4.06,External-Shading,GEG,BoilerBaseboard,Gas_TanklessHeater,1980_2004,23.7,24.9,4.4,0.06,23.7,26.9,5.8,0.25,31545.80269,7769.90214,6.322239,25.78,19.48,25.78,19.48,1301.72592,1732.717269,278.274,224.262,54.012
Simulation671,Country,176,7,4.35,External-Shading,NZEB,BoilerBaseboard,Electric_WaterHeater,pre_1980,22.1,25.2,4.2,0.07,22,25.1,6.7,0.27,66004.95398,15173.55264,4.477094,69.37,56.81,69.37,56.81,2123.47753,2788.227861,178.56,123.864,54.696
Simulation672,Suburbs,133,2,4.39,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_WaterHeater,2004,23.2,24.8,5.9,0.07,22.9,26,6.7,0.26,22282.85338,5075.820816,5.72754,16.39,29.04,16.39,29.04,774.680388,1057.784822,207.141,153.829,53.312
Simulation673,Country,26,2,3.29,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_TanklessHeater,1980_2004,22.1,24,4.3,0.1,21.4,24,6.2,0.29,15073.8318,4581.711792,6.067117,22.98,15.94,22.98,15.94,588.588031,1423.271211,96.781,45.248,51.533
Simulation674,Suburbs,98,1,3.42,Low-SHGC-Value,Passive,ASHPBaseboard,Gas_TanklessHeater,2010,23.6,24.8,5.9,0.06,20.6,26.5,6,0.34,16698.68987,4882.657856,5.803085,18.75,23.89,18.75,23.89,690.988537,1765.82583,114.594,62.315,52.279
Simulation675,Suburbs,26,5,4.15,External-Shading,NZEB,BoilerBaseboard,Gas_TanklessHeater,1980_2004,23.4,24.5,4.1,0.05,23.6,24,6.2,0.34,44632.55081,10754.83152,4.70496,45.54,38.18,45.54,38.18,1462.81393,1955.390319,197.29,141.348,55.943
Simulation676,Urban,19,7,4.35,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_TanklessHeater,2016,22.6,24.5,4.6,0.07,20.4,24.5,5.5,0.21,96427.01376,22167.1296,3.841987,69.7,57.12,69.7,57.12,2573.080184,5802.712517,95.254,39.514,55.74
Simulation678,Suburbs,14,4,3.62,Low-SHGC-Value,Passive,BoilerBaseboard,Gas_WaterHeater,1980_2004,21.9,25.8,4.8,0.18,22.1,25.1,6.5,0.37,37384.93424,10327.3299,5.069128,24.98,17.62,24.98,17.62,1198.95802,1596.408249,157.706,103.332,54.375
Simulation679,Country,7,3,4.29,Low-SHGC-Value,Passive,ASHPBaseboard,Electric_WaterHeater,2019,22.5,24.9,4.6,0.18,22.3,26.9,5.5,0.45,24607.40783,5735.9925,6.364319,36.77,43.24,36.77,43.24,942.017085,2235.14319,116.115,59.862,56.253
Simulation681,Suburbs,144,5,3.88,Low-SHGC-Value,Passive,BoilerBaseboard,Electric_WaterHeater,2004,21.3,25.2,4.9,0.11,20.6,25.7,5.4,0.41,29487.64244,7599.907844,6.179259,39.13,28.43,39.13,28.43,1027.91149,1344.788968,191.772,136.751,55.021
Simulation682,Country,82,9,4.11,Low-SHGC-Value,NZEB,BoilerBaseboard,Gas_WaterHeater,2016,23.2,24.7,4.7,0.08,23,25.4,5.8,0.41,58205.61598,14161.95036,5.179437,17.79,25.17,17.79,25.17,1974.20008,2658.521559,212.376,156.752,55.623
Simulation683,Urban,164,6,3.63,Low-SHGC-Value,GEG,ASHPBaseboard,Gas_TanklessHeater,2010,23.9,25.9,5.6,0.14,20.1,24.7,5.7,0.2,58799.81058,16198.29493,4.019108,26.16,19.23,26.16,19.23,1729.479124,4244.03591,92.693,36.72,55.973
Simulation684,Urban,13,4,4.3,Low-SHGC-Value,Passive,DHWBaseboard,Gas_WaterHeater,2004,22.8,25.2,5.9,0.17,21.7,24.5,6.1,0.2,36057.94087,8385.567645,5.518324,47.09,33.58,47.09,33.58,1059.099996,1440.7824,169.963,114.695,55.268
Simulation685,City,138,9,4.05,External-Shading,NZEB,BoilerBaseboard,Gas_TanklessHeater,2004,21.4,24.1,5.3,0.16,23.9,25,5.8,0.42,43212.90566,10669.85325,6.04406,27.21,13.58,27.21,13.58,1569.68846,2063.148002,204.738,150.139,54.598
Simulation686,Suburbs,110,2,3.62,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2004,21.9,25.2,5.8,0.18,22.5,26.4,5.2,0.21,26014.33779,7186.281156,4.783461,19.42,27.43,19.42,27.43,863.824219,2121.416852,90.497,38.802,51.694
Simulation687,Country,162,9,3.01,External-Shading,Passive,DHWBaseboard,Electric_TanklessHeater,1980_2004,23.5,24.8,4.6,0.07,23.2,26.4,6.3,0.21,54199.4145,18006.45,4.747188,22.59,14.59,22.59,14.59,1621.645416,2255.383261,122.955,67.276,55.678
Simulation688,Urban,59,6,3.15,External-Shading,Passive,ASHPBaseboard,Electric_WaterHeater,pre_1980,23.4,25.8,5.6,0.05,21.4,24.9,5.9,0.44,23754.69974,7541.17452,6.923573,17.74,23.27,17.74,23.27,1010.341311,2573.555726,97.76,42.403,55.357
Simulation690,Suburbs,50,7,2.92,External-Shading,GEG,ASHPBaseboard,Gas_TanklessHeater,2016,23.4,25.8,5.9,0.1,21.1,25.6,5.4,0.39,27204.14041,9316.48644,5.685673,26.85,31.02,26.85,31.02,1132.445778,2866.135515,91.617,36.528,55.089
Simulation691,Urban,159,8,3.74,External-Shading,Passive,BoilerBaseboard,Gas_WaterHeater,1980_2004,22.4,25,5.2,0.11,21.9,26.4,6.3,0.32,35788.82733,9569.205168,6.274584,21.3,17.28,21.3,17.28,1324.2301,1765.772122,198.13,141.34,56.79
Simulation692,Country,43,9,3.2,Low-SHGC-Value,GEG,DHWBaseboard,Electric_TanklessHeater,2016,21.7,25.3,5.4,0.07,23.8,26.1,5.2,0.31,61408.9296,19190.2905,4.391312,36,28.74,36,28.74,1750.673796,2443.005192,131.698,75.683,56.016
Simulation693,Suburbs,154,10,3.47,Low-SHGC-Value,Passive,DHWBaseboard,Electric_TanklessHeater,2007,22.6,25.6,5,0.19,20,24.8,5.1,0.4,48755.91613,14050.69629,5.896838,60.88,51.84,60.88,51.84,1714.297716,2307.926143,149.839,94.059,55.78
Simulation694,Suburbs,44,3,3.78,External-Shading,NZEB,BoilerBaseboard,Electric_TanklessHeater,2007,22.6,24.7,5.1,0.19,21.1,26.3,5.2,0.3,42829.05498,11330.43782,4.085236,40.8,32.29,40.8,32.29,1282.26473,1681.014887,164.166,112.466,51.7
Simulation695,Suburbs,38,3,3.82,Low-SHGC-Value,Passive,BoilerBaseboard,Electric_WaterHeater,2019,23.8,25.1,5.7,0.16,23.6,24.9,5,0.45,20283.94146,5309.93232,6.45354,26.01,16.88,26.01,16.88,756.91666,1007.321086,239.373,186.052,53.32
Simulation697,Country,171,3,4.22,Low-SHGC-Value,GEG,BoilerBaseboard,Gas_TanklessHeater,2016,22.4,25.9,4,0.1,20.4,24.6,6.5,0.31,24620.31647,5834.198216,5.466114,23.56,19.32,23.56,19.32,861.24429,1141.942737,232.907,178.507,54.4
Simulation698,Urban,80,6,3.51,External-Shading,Passive,ASHPBaseboard,Gas_WaterHeater,1980_2004,21,24.8,4.6,0.12,20.2,24.5,5.9,0.32,60720.11669,17299.17854,4.442854,44.99,66.59,44.99,66.59,1625.963125,3326.173531,78.024,22.339,55.684
Simulation699,Suburbs,180,4,4.4,External-Shading,Passive,ASHPBaseboard,Electric_TanklessHeater,2016,22.4,25,4.1,0.1,22.4,25.6,5.3,0.27,42184.4346,9587.3715,5.086021,46.55,36.64,46.55,36.64,1280.225245,3052.509035,98.365,43.772,54.593
Simulation700,Country,93,6,3.31,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_WaterHeater,2019,23.3,24.5,4.9,0.09,22,24.9,5.9,0.38,28592.05845,8638.084125,5.746341,31.69,36.9,31.69,36.9,1115.00646,1523.271071,160.598,104.217,56.381
Simulation701,Suburbs,82,8,4.07,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,2004,22.2,24.4,5.8,0.11,23.6,26.6,6.5,0.21,33315.05723,8185.517748,6.39105,19,24.3,19,24.3,1369.838154,3449.909742,117.759,61.693,56.066
Simulation702,Suburbs,69,2,3.87,External-Shading,Passive,BoilerBaseboard,Electric_TanklessHeater,2019,22.7,25.6,5.7,0.12,20.8,24.5,5.3,0.23,20881.15705,5395.647816,6.038713,49.61,64.8,49.61,64.8,749.42781,982.993894,201.447,150.827,50.62
Simulation703,Suburbs,13,4,3.81,External-Shading,Passive,ASHPBaseboard,Electric_WaterHeater,2016,23.9,25.3,4,0.1,21.4,24.2,5.3,0.19,29920.97394,7853.274,5.731123,66.81,51.64,66.81,51.64,1028.236007,2470.388013,99.393,43.452,55.941
Simulation704,City,20,8,4.31,Low-SHGC-Value,GEG,BoilerBaseboard,Gas_WaterHeater,1980_2004,23.6,25.4,5.8,0.12,22.9,24.8,6.4,0.4,79939.91895,18547.545,4.407277,71.36,54.27,71.36,54.27,2390.66319,3142.595933,205.35,149.993,55.357
