,Terrain,Orientation,NumberOfFloors,FloorHeight,Fassade,RasterLength-X,RasterLength-Y,Arm-Latitudinal-NumberOfSegments,Arm-Longitudinal-NumberOfSegments,BaseBody-Inside-Latditudinal-NumberOfSegments,Courtyard_SegmentCount_RasterLength-Y,Has_Courtyard-Roof,Shading,EnergyStandard,HVAC-System,ServiceHotWater,BuildingVintage
334,Suburbs,159,3,3.17,Horizontal-Windows,3.96,2.36,4,4,3,8.68,False,Low-SHGC-Value,NZEB,DHWBaseboard,HeatPump_WaterHeater,2013
335,Urban,47,1,3.27,Vertical-Windows,2.36,2.57,3,4,3,12.12,False,External-Shading,NZEB,DHWBaseboard,Electric_WaterHeater,2013
336,Country,154,2,3.5,Horizontal-Windows,2.48,2.2,4,5,3,12.39,True,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,2004
337,Suburbs,141,2,3.2,Ribbon-Windows,3.39,2.21,4,4,2,9.93,True,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_WaterHeater,2010
338,Country,145,7,3.04,Vertical-Windows,3.23,3.02,4,3,2,12.13,False,External-Shading,GEG,DHWBaseboard,Electric_WaterHeater,2016
339,Urban,136,3,3.38,Vertical-Windows,3.1,3.53,3,4,2,10.73,False,Low-SHGC-Value,GEG,DHWBaseboard,Electric_WaterHeater,2013
340,Suburbs,140,3,4.02,Vertical-Windows,3.67,3.33,3,4,2,11.57,False,External-Shading,Passive,BoilerBaseboard,Electric_WaterHeater,1980_2004
341,Suburbs,3,1,4.14,Vertical-Windows,2.9,2.96,4,4,2,8.08,True,External-Shading,NZEB,DHWBaseboard,Electric_WaterHeater,2013
342,Suburbs,68,9,4.37,Vertical-Windows,2.1,3.85,3,3,3,12.53,False,External-Shading,Passive,BoilerBaseboard,HeatPump_WaterHeater,2016
343,Suburbs,57,2,2.99,Ribbon-Windows,2.44,2.91,3,4,4,9.72,False,External-Shading,Passive,ASHPBaseboard,Electric_WaterHeater,1980_2004
344,Suburbs,45,7,3.02,Horizontal-Windows,3.14,2.01,5,4,4,11.11,True,External-Shading,Passive,BoilerBaseboard,HeatPump_WaterHeater,2019
345,Urban,110,2,3.34,Vertical-Windows,3.27,2.54,3,3,3,11.42,True,External-Shading,NZEB,DHWBaseboard,Electric_TanklessHeater,2013
346,Urban,127,9,2.82,Horizontal-Windows,3.3,3.64,3,3,3,10.93,False,External-Shading,GEG,ASHPBaseboard,Gas_WaterHeater,2016
347,Urban,167,3,4.25,Vertical-Windows,3.14,3.62,4,3,2,8.54,True,External-Shading,GEG,ASHPBaseboard,Gas_TanklessHeater,2013
348,Urban,102,6,4.16,Horizontal-Windows,3.12,3.45,3,4,3,12.52,True,External-Shading,Passive,ASHPBaseboard,Gas_TanklessHeater,pre_1980
349,Suburbs,93,4,4.22,Ribbon-Windows,3.71,2.02,4,4,2,8.49,False,External-Shading,NZEB,ASHPBaseboard,Gas_WaterHeater,2007
350,City,104,9,4.43,Vertical-Windows,2.02,2.61,4,4,4,12.3,True,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,1980_2004
351,Country,146,2,3.24,Horizontal-Windows,2.5,2.35,3,5,3,11.14,True,Low-SHGC-Value,Passive,ASHPBaseboard,HeatPump_WaterHeater,2010
352,Suburbs,43,2,2.9,Vertical-Windows,2.69,3.97,4,4,4,7.54,False,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2016
353,City,95,4,3.17,Vertical-Windows,2.28,2.26,4,3,3,8.52,True,External-Shading,NZEB,BoilerBaseboard,Gas_WaterHeater,2019
354,Urban,18,1,3.93,Horizontal-Windows,2.55,2.53,5,4,3,10.66,True,External-Shading,Passive,BoilerBaseboard,Gas_TanklessHeater,pre_1980
355,City,180,5,3.51,Ribbon-Windows,3.5,2.25,4,4,4,11.48,False,Low-SHGC-Value,Passive,DHWBaseboard,HeatPump_WaterHeater,2007
356,Suburbs,119,4,3.27,Vertical-Windows,3.11,3.11,5,4,3,7.13,False,External-Shading,Passive,BoilerBaseboard,Electric_WaterHeater,1980_2004
357,Urban,121,6,2.83,Ribbon-Windows,3.5,2.97,4,3,2,11.87,False,External-Shading,GEG,ASHPBaseboard,Electric_WaterHeater,2007
358,City,177,4,3.05,Horizontal-Windows,2.36,2.83,3,4,4,8.62,True,External-Shading,Passive,BoilerBaseboard,HeatPump_WaterHeater,2007
359,Country,175,1,3.92,Ribbon-Windows,3.06,2.29,4,4,3,10.19,False,External-Shading,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2004
360,City,9,4,3.74,Vertical-Windows,2.33,3.82,5,5,2,10.68,False,External-Shading,NZEB,DHWBaseboard,Gas_TanklessHeater,2013
361,Urban,157,3,3.75,Horizontal-Windows,3.9,3.62,5,5,4,9.18,True,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_TanklessHeater,2013
362,Country,47,3,3.21,Vertical-Windows,3.57,2.5,3,3,4,7.58,True,Low-SHGC-Value,Passive,BoilerBaseboard,Gas_TanklessHeater,2004
363,Suburbs,123,2,4.12,Ribbon-Windows,2.78,2.11,3,3,2,12.96,True,Low-SHGC-Value,GEG,DHWBaseboard,Electric_WaterHeater,2016
364,Urban,53,4,3.45,Vertical-Windows,2.51,3.73,4,4,2,12.47,True,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,2004
365,Suburbs,152,9,3.33,Vertical-Windows,2.71,3.23,5,5,3,7.34,False,External-Shading,GEG,ASHPBaseboard,Electric_WaterHeater,1980_2004
366,Suburbs,91,9,4.1,Vertical-Windows,3.6,2.95,4,5,3,9.02,True,Low-SHGC-Value,Passive,ASHPBaseboard,Electric_WaterHeater,2010
367,Urban,130,2,3.42,Ribbon-Windows,3.54,2.88,5,5,3,11.32,True,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,1980_2004
368,City,24,9,4.04,Vertical-Windows,3.98,2.87,4,3,3,8.3,True,Low-SHGC-Value,GEG,ASHPBaseboard,HeatPump_WaterHeater,2013
369,Urban,102,9,4.01,Ribbon-Windows,3.98,2.83,5,4,2,8.07,False,Low-SHGC-Value,Passive,ASHPBaseboard,Electric_WaterHeater,1980_2004
370,Urban,92,5,3.53,Vertical-Windows,2.32,3.49,3,3,3,9.24,False,Low-SHGC-Value,GEG,DHWBaseboard,Electric_WaterHeater,2019
371,Urban,56,4,3.57,Horizontal-Windows,3.61,3.19,4,3,4,10.09,True,External-Shading,Passive,BoilerBaseboard,Gas_TanklessHeater,2007
372,Urban,137,4,3.96,Vertical-Windows,3.94,2.9,4,3,4,9.21,True,Low-SHGC-Value,GEG,ASHPBaseboard,Gas_WaterHeater,2004
373,Urban,172,2,3.55,Ribbon-Windows,3.46,3.61,4,3,3,7.23,True,Low-SHGC-Value,Passive,BoilerBaseboard,Gas_WaterHeater,2019
374,Suburbs,17,10,2.98,Vertical-Windows,2.83,2.19,4,4,3,11.65,True,Low-SHGC-Value,NZEB,BoilerBaseboard,Gas_WaterHeater,pre_1980
375,Country,171,9,4.46,Horizontal-Windows,3.97,2.18,4,5,4,12.49,False,External-Shading,GEG,ASHPBaseboard,Gas_WaterHeater,2016
376,City,72,6,4.39,Vertical-Windows,2.34,3.7,4,3,2,11.93,True,External-Shading,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2019
377,Suburbs,39,6,3.6,Vertical-Windows,2.02,3.58,4,4,4,8.11,False,External-Shading,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2019
378,Suburbs,81,6,3.44,Vertical-Windows,3.33,2.36,5,4,3,10.67,False,External-Shading,GEG,ASHPBaseboard,Electric_TanklessHeater,2010
379,Suburbs,29,9,3.4,Vertical-Windows,3.21,2.6,4,4,2,11.75,True,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,pre_1980
380,Suburbs,88,8,4.14,Vertical-Windows,3.23,3.86,5,3,4,12.58,False,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_WaterHeater,2007
381,City,171,2,2.84,Vertical-Windows,3.26,3.55,3,4,2,12.1,False,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_WaterHeater,2016
382,Suburbs,114,7,3.58,Ribbon-Windows,3.31,2.31,4,5,2,10.37,True,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_WaterHeater,2004
383,Suburbs,179,9,4.04,Horizontal-Windows,2.62,2.54,5,4,3,8.83,False,Low-SHGC-Value,NZEB,ASHPBaseboard,HeatPump_WaterHeater,pre_1980
384,Suburbs,35,7,2.99,Vertical-Windows,2.11,3.76,4,5,3,10.46,True,External-Shading,NZEB,BoilerBaseboard,Electric_WaterHeater,2007
385,Suburbs,77,5,4.2,Vertical-Windows,3.56,2.93,4,4,3,8.15,False,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_TanklessHeater,2010
386,Suburbs,96,1,3.66,Vertical-Windows,3.84,2.69,3,3,3,8.67,True,Low-SHGC-Value,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2019
387,Urban,75,3,4.46,Vertical-Windows,2.01,3.79,4,4,3,12.89,False,External-Shading,NZEB,BoilerBaseboard,Gas_TanklessHeater,2013
388,Suburbs,109,8,2.81,Vertical-Windows,3.56,3.84,3,4,2,11.36,True,Low-SHGC-Value,NZEB,BoilerBaseboard,Gas_TanklessHeater,2010
389,City,148,3,3.04,Ribbon-Windows,3.8,2.38,3,5,3,9.19,False,External-Shading,GEG,ASHPBaseboard,HeatPump_WaterHeater,2004
390,City,70,10,3.26,Horizontal-Windows,3.4,2.13,3,4,3,9.99,True,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,1980_2004
391,Urban,75,5,3.87,Vertical-Windows,3.23,2.62,5,4,2,12.76,True,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2016
392,Suburbs,45,6,3.1,Ribbon-Windows,3.36,2.42,3,4,4,9.69,True,External-Shading,GEG,ASHPBaseboard,Electric_WaterHeater,1980_2004
393,Urban,142,8,4.35,Horizontal-Windows,2.43,3.54,5,3,3,7.02,False,Low-SHGC-Value,GEG,ASHPBaseboard,Gas_TanklessHeater,2019
394,Suburbs,38,5,3.97,Vertical-Windows,2.96,2.79,4,4,2,7.43,False,External-Shading,GEG,ASHPBaseboard,HeatPump_WaterHeater,2007
395,Urban,51,9,3.89,Horizontal-Windows,2.76,2.75,4,4,3,7.93,False,Low-SHGC-Value,Passive,DHWBaseboard,Electric_WaterHeater,2004
396,City,166,4,3.39,Vertical-Windows,2.34,3.96,5,5,3,7.35,False,Low-SHGC-Value,GEG,ASHPBaseboard,Electric_WaterHeater,2007
397,Country,92,2,4.09,Ribbon-Windows,3.79,3.76,4,3,3,10.38,False,Low-SHGC-Value,Passive,ASHPBaseboard,Gas_WaterHeater,2010
398,Suburbs,166,3,2.86,Ribbon-Windows,2.66,2.47,3,4,4,12.98,False,External-Shading,Passive,DHWBaseboard,Electric_TanklessHeater,2004
399,City,82,4,4.12,Vertical-Windows,2.52,2.71,3,5,2,9.33,True,Low-SHGC-Value,NZEB,DHWBaseboard,HeatPump_WaterHeater,2004
400,Urban,137,9,3.6,Ribbon-Windows,3.25,2.04,3,4,3,11.67,False,Low-SHGC-Value,Passive,ASHPBaseboard,Electric_WaterHeater,2004
401,Suburbs,130,6,3.11,Vertical-Windows,3.58,2.13,3,5,2,9.15,False,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2010
402,Country,40,3,3.9,Ribbon-Windows,3.55,2.92,3,4,3,7.46,True,External-Shading,GEG,DHWBaseboard,Gas_TanklessHeater,2004
403,Urban,132,3,3.08,Vertical-Windows,3.4,3.6,4,4,4,8.09,True,External-Shading,GEG,ASHPBaseboard,Electric_TanklessHeater,1980_2004
404,Urban,119,7,3.26,Ribbon-Windows,2.55,2.05,4,4,3,7.42,True,Low-SHGC-Value,Passive,ASHPBaseboard,Gas_WaterHeater,2004
405,Country,5,7,2.96,Vertical-Windows,3.47,2.12,5,3,3,12.11,True,External-Shading,NZEB,BoilerBaseboard,Electric_WaterHeater,2013
406,Country,33,8,3.56,Vertical-Windows,2.2,2.06,3,4,2,11.98,True,External-Shading,NZEB,ASHPBaseboard,Electric_TanklessHeater,1980_2004
407,Suburbs,139,4,4.08,Vertical-Windows,4.0,2.58,4,5,2,10.58,True,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_WaterHeater,1980_2004
408,Urban,58,7,2.94,Horizontal-Windows,3.89,3.56,3,4,3,8.36,True,Low-SHGC-Value,NZEB,BoilerBaseboard,Electric_WaterHeater,2016
409,Suburbs,174,8,3.3,Vertical-Windows,2.7,2.65,4,4,2,8.6,False,Low-SHGC-Value,NZEB,BoilerBaseboard,HeatPump_WaterHeater,pre_1980
410,City,104,2,3.99,Horizontal-Windows,2.05,2.53,3,5,3,8.01,False,External-Shading,NZEB,ASHPBaseboard,Electric_TanklessHeater,2016
411,Urban,128,10,3.2,Vertical-Windows,2.57,3.89,4,3,2,9.96,False,Low-SHGC-Value,Passive,BoilerBaseboard,Electric_WaterHeater,2010
412,Urban,94,3,4.23,Ribbon-Windows,3.8,2.42,5,4,3,9.38,True,External-Shading,NZEB,DHWBaseboard,HeatPump_WaterHeater,2013
413,Urban,154,5,3.81,Ribbon-Windows,3.08,3.6,4,5,3,8.32,False,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,2013
414,Country,177,3,3.86,Horizontal-Windows,3.66,2.77,3,5,2,8.98,True,External-Shading,Passive,ASHPBaseboard,Electric_TanklessHeater,2019
415,City,127,10,3.67,Ribbon-Windows,3.29,3.96,3,5,3,8.76,False,External-Shading,NZEB,DHWBaseboard,Electric_WaterHeater,2013
416,Suburbs,70,8,4.29,Ribbon-Windows,3.17,3.15,5,5,3,10.97,False,Low-SHGC-Value,GEG,ASHPBaseboard,Gas_TanklessHeater,2013
417,Urban,84,6,3.23,Vertical-Windows,2.43,3.23,4,3,3,9.43,True,Low-SHGC-Value,NZEB,DHWBaseboard,HeatPump_WaterHeater,2007
418,Suburbs,167,7,3.15,Vertical-Windows,2.42,2.46,5,3,3,9.95,False,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2016
419,Urban,122,5,3.91,Vertical-Windows,2.06,2.22,4,5,2,8.89,True,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_TanklessHeater,2019
420,Suburbs,62,8,3.14,Ribbon-Windows,2.85,3.49,4,3,2,7.37,True,Low-SHGC-Value,GEG,ASHPBaseboard,Electric_TanklessHeater,2004
421,Suburbs,53,4,3.5,Horizontal-Windows,3.78,2.27,4,4,2,10.6,True,Low-SHGC-Value,Passive,ASHPBaseboard,Electric_WaterHeater,1980_2004
422,Urban,113,8,3.12,Horizontal-Windows,3.51,3.71,4,4,4,10.21,True,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,2004
423,Country,31,8,4.18,Vertical-Windows,2.77,2.2,4,5,2,11.47,True,External-Shading,GEG,ASHPBaseboard,HeatPump_WaterHeater,1980_2004
424,Suburbs,62,4,2.97,Ribbon-Windows,2.83,2.59,4,4,3,10.15,False,Low-SHGC-Value,GEG,BoilerBaseboard,Electric_TanklessHeater,2004
425,Suburbs,59,5,3.78,Vertical-Windows,3.15,2.79,3,4,2,8.65,True,Low-SHGC-Value,Passive,DHWBaseboard,Gas_TanklessHeater,2013
426,City,1,9,3.52,Horizontal-Windows,2.67,2.79,4,5,3,12.29,False,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,1980_2004
427,Country,104,5,3.18,Horizontal-Windows,3.91,2.97,3,5,3,7.4,False,External-Shading,NZEB,DHWBaseboard,Electric_WaterHeater,2013
428,Country,90,8,3.62,Ribbon-Windows,2.75,2.83,5,3,4,11.23,False,External-Shading,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2010
429,Suburbs,117,2,3.19,Vertical-Windows,2.0,3.99,4,5,3,8.43,False,Low-SHGC-Value,GEG,BoilerBaseboard,Gas_TanklessHeater,2019
430,City,152,8,3.06,Vertical-Windows,2.38,3.7,4,5,4,10.87,False,External-Shading,NZEB,BoilerBaseboard,HeatPump_WaterHeater,2010
431,City,110,8,3.71,Ribbon-Windows,2.26,2.11,4,4,3,7.75,True,Low-SHGC-Value,NZEB,BoilerBaseboard,HeatPump_WaterHeater,2013
432,Suburbs,44,2,4.49,Vertical-Windows,2.44,2.44,4,5,3,10.54,True,External-Shading,GEG,ASHPBaseboard,Gas_TanklessHeater,2004
433,Country,168,3,4.44,Vertical-Windows,3.64,3.9,4,3,4,11.86,True,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_WaterHeater,2004
434,City,28,9,3.11,Vertical-Windows,3.34,3.82,5,5,2,7.52,False,Low-SHGC-Value,Passive,BoilerBaseboard,Gas_TanklessHeater,pre_1980
435,Urban,138,2,3.39,Vertical-Windows,2.16,3.1,4,4,3,10.49,True,Low-SHGC-Value,Passive,BoilerBaseboard,Electric_TanklessHeater,2004
436,Country,157,9,2.98,Vertical-Windows,2.23,2.51,4,5,2,10.31,False,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_WaterHeater,2007
437,Suburbs,180,3,3.38,Vertical-Windows,2.61,2.42,4,4,3,8.29,True,Low-SHGC-Value,Passive,DHWBaseboard,HeatPump_WaterHeater,1980_2004
438,Urban,120,3,3.38,Ribbon-Windows,3.63,3.37,4,4,2,11.02,True,Low-SHGC-Value,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2007
439,Urban,72,5,3.22,Ribbon-Windows,3.49,3.79,4,5,3,9.68,False,Low-SHGC-Value,Passive,BoilerBaseboard,Electric_TanklessHeater,2016
440,Country,172,4,3.46,Ribbon-Windows,2.94,3.09,4,4,3,12.78,True,Low-SHGC-Value,Passive,ASHPBaseboard,Gas_TanklessHeater,1980_2004
441,City,36,10,3.55,Vertical-Windows,2.53,2.17,4,5,4,8.35,True,Low-SHGC-Value,NZEB,DHWBaseboard,HeatPump_WaterHeater,1980_2004
442,City,162,1,3.85,Horizontal-Windows,3.74,3.97,3,4,3,12.05,False,Low-SHGC-Value,Passive,ASHPBaseboard,Gas_TanklessHeater,2004
443,Suburbs,178,2,2.89,Horizontal-Windows,3.69,3.13,4,5,3,12.16,True,External-Shading,NZEB,BoilerBaseboard,Gas_TanklessHeater,1980_2004
444,Urban,52,5,3.76,Horizontal-Windows,2.34,2.56,3,3,3,9.01,False,External-Shading,Passive,ASHPBaseboard,Gas_WaterHeater,2007
445,Urban,120,6,4.05,Horizontal-Windows,3.05,3.93,5,4,4,10.01,False,Low-SHGC-Value,Passive,BoilerBaseboard,Electric_WaterHeater,1980_2004
446,Urban,8,4,4.28,Horizontal-Windows,3.52,2.65,3,4,3,10.05,True,Low-SHGC-Value,NZEB,BoilerBaseboard,Electric_WaterHeater,1980_2004
447,Country,145,7,3.71,Vertical-Windows,2.1,2.88,4,4,3,10.13,False,External-Shading,Passive,ASHPBaseboard,HeatPump_WaterHeater,1980_2004
448,Suburbs,130,1,4.47,Vertical-Windows,2.53,3.87,3,4,4,9.46,False,External-Shading,Passive,BoilerBaseboard,HeatPump_WaterHeater,2007
449,City,41,8,4.03,Vertical-Windows,3.97,3.96,4,5,2,7.53,False,External-Shading,GEG,DHWBaseboard,Gas_TanklessHeater,2004
450,City,4,9,4.36,Vertical-Windows,3.67,3.03,3,4,3,10.75,False,Low-SHGC-Value,NZEB,BoilerBaseboard,HeatPump_WaterHeater,2016
451,Urban,153,3,3.86,Vertical-Windows,3.35,3.29,5,3,4,12.59,False,Low-SHGC-Value,GEG,BoilerBaseboard,HeatPump_WaterHeater,2004
452,Suburbs,139,10,3.36,Ribbon-Windows,2.71,2.94,4,4,3,9.57,False,Low-SHGC-Value,Passive,ASHPBaseboard,Electric_TanklessHeater,2007
453,Suburbs,25,2,4.17,Vertical-Windows,3.68,2.87,4,5,3,8.7,True,Low-SHGC-Value,GEG,ASHPBaseboard,Gas_WaterHeater,2013
454,Urban,173,4,4.49,Ribbon-Windows,2.59,3.6,3,4,2,9.09,False,Low-SHGC-Value,Passive,BoilerBaseboard,Gas_WaterHeater,2013
455,City,145,5,2.87,Horizontal-Windows,3.76,2.85,5,4,3,9.39,True,External-Shading,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2007
456,Urban,70,10,3.81,Horizontal-Windows,2.97,2.07,3,5,4,12.19,False,External-Shading,Passive,ASHPBaseboard,HeatPump_WaterHeater,2016
457,Suburbs,113,3,4.13,Vertical-Windows,3.76,2.08,5,4,4,8.24,False,External-Shading,Passive,ASHPBaseboard,Gas_TanklessHeater,pre_1980
458,Country,116,7,3.54,Vertical-Windows,3.18,2.05,3,4,3,7.66,False,External-Shading,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2016
459,Country,114,8,3.16,Vertical-Windows,3.34,2.28,4,5,3,9.61,False,Low-SHGC-Value,NZEB,BoilerBaseboard,Electric_TanklessHeater,2013
460,Urban,87,6,4.06,Horizontal-Windows,3.37,3.37,3,4,3,7.99,False,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2016
461,Urban,19,2,4.15,Vertical-Windows,2.22,2.92,4,4,3,8.58,False,Low-SHGC-Value,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2007
462,Country,154,7,3.05,Vertical-Windows,2.46,2.26,4,4,2,8.55,False,Low-SHGC-Value,GEG,BoilerBaseboard,HeatPump_WaterHeater,2010
463,Suburbs,156,2,3.4,Horizontal-Windows,3.66,3.17,5,4,4,8.23,True,Low-SHGC-Value,Passive,ASHPBaseboard,HeatPump_WaterHeater,1980_2004
464,Country,10,9,4.05,Vertical-Windows,3.83,3.14,4,4,2,12.34,False,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_TanklessHeater,1980_2004
465,City,36,3,3.73,Vertical-Windows,2.24,3.33,4,4,4,10.34,True,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_TanklessHeater,2019
466,Suburbs,3,7,3.32,Ribbon-Windows,2.79,2.71,5,4,3,10.5,False,Low-SHGC-Value,NZEB,ASHPBaseboard,Gas_WaterHeater,2016
467,Suburbs,83,9,3.01,Horizontal-Windows,3.52,2.27,5,3,3,12.15,False,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_WaterHeater,1980_2004
468,Suburbs,91,6,3.69,Vertical-Windows,3.61,2.66,3,4,3,7.6,False,External-Shading,GEG,BoilerBaseboard,HeatPump_WaterHeater,2019
469,Suburbs,161,9,3.58,Horizontal-Windows,3.82,2.02,5,4,3,9.31,True,External-Shading,NZEB,BoilerBaseboard,Electric_TanklessHeater,2007
470,Urban,58,8,4.19,Ribbon-Windows,2.79,3.36,4,4,3,7.48,True,External-Shading,NZEB,BoilerBaseboard,Electric_TanklessHeater,2016
471,Urban,0,9,3.0,Vertical-Windows,3.68,2.61,4,4,3,11.09,False,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2004
472,Suburbs,147,1,4.18,Vertical-Windows,3.88,2.08,4,3,2,7.95,False,Low-SHGC-Value,NZEB,BoilerBaseboard,Electric_WaterHeater,2013
473,Country,151,4,4.34,Vertical-Windows,2.95,2.24,4,3,3,7.77,True,Low-SHGC-Value,GEG,ASHPBaseboard,Gas_TanklessHeater,2004
474,Suburbs,100,5,3.43,Vertical-Windows,2.42,3.35,3,4,4,7.08,True,External-Shading,NZEB,ASHPBaseboard,Gas_WaterHeater,2004
475,Suburbs,169,6,3.15,Ribbon-Windows,2.72,2.93,5,4,2,12.35,False,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_WaterHeater,1980_2004
476,Urban,87,7,3.98,Vertical-Windows,3.24,3.25,4,3,3,10.2,False,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2016
477,City,95,3,3.09,Ribbon-Windows,2.48,2.5,5,4,2,7.76,False,Low-SHGC-Value,GEG,DHWBaseboard,HeatPump_WaterHeater,2004
478,Suburbs,123,10,2.95,Horizontal-Windows,3.88,2.32,4,3,3,11.45,False,External-Shading,GEG,DHWBaseboard,HeatPump_WaterHeater,pre_1980
479,Urban,3,5,4.38,Horizontal-Windows,2.28,3.09,4,4,4,11.28,True,External-Shading,NZEB,DHWBaseboard,Gas_TanklessHeater,2016
480,Urban,157,6,3.39,Vertical-Windows,2.56,2.45,3,5,4,8.9,False,External-Shading,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2019
481,Country,62,3,3.9,Horizontal-Windows,2.12,3.0,3,5,3,12.92,False,External-Shading,GEG,DHWBaseboard,HeatPump_WaterHeater,2007
482,City,100,4,3.68,Ribbon-Windows,2.59,2.1,4,4,4,7.63,False,Low-SHGC-Value,NZEB,DHWBaseboard,Electric_WaterHeater,2013
483,Suburbs,19,10,3.89,Ribbon-Windows,2.18,3.21,3,4,3,12.7,True,External-Shading,NZEB,ASHPBaseboard,Electric_WaterHeater,1980_2004
484,Country,38,8,4.42,Vertical-Windows,2.13,2.09,3,4,3,9.07,False,Low-SHGC-Value,GEG,ASHPBaseboard,Electric_TanklessHeater,2004
485,Urban,32,5,3.94,Vertical-Windows,2.97,2.03,5,4,4,11.06,True,External-Shading,GEG,ASHPBaseboard,Electric_WaterHeater,2010
486,Urban,118,3,4.34,Vertical-Windows,3.72,2.33,4,4,2,9.92,False,External-Shading,NZEB,DHWBaseboard,Gas_TanklessHeater,2007
487,Country,175,7,3.79,Vertical-Windows,3.72,2.23,4,4,3,9.85,False,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_TanklessHeater,2016
488,Suburbs,64,7,3.03,Horizontal-Windows,2.93,2.76,4,4,3,10.82,True,Low-SHGC-Value,Passive,ASHPBaseboard,HeatPump_WaterHeater,2010
489,Urban,120,3,3.77,Vertical-Windows,3.48,2.41,4,5,4,10.8,False,External-Shading,NZEB,ASHPBaseboard,Gas_WaterHeater,pre_1980
490,Urban,160,3,3.25,Horizontal-Windows,2.39,2.32,4,5,3,10.98,False,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2007
491,Country,167,9,4.02,Ribbon-Windows,2.03,3.92,4,4,3,9.91,False,Low-SHGC-Value,NZEB,ASHPBaseboard,Electric_WaterHeater,1980_2004
492,Country,26,5,4.19,Vertical-Windows,2.13,2.04,4,5,3,7.64,True,External-Shading,NZEB,ASHPBaseboard,Gas_TanklessHeater,2016
493,Urban,132,10,4.29,Ribbon-Windows,2.25,3.57,5,3,2,10.33,False,Low-SHGC-Value,NZEB,DHWBaseboard,Gas_WaterHeater,1980_2004
494,City,27,3,3.83,Vertical-Windows,3.24,3.69,4,3,4,7.32,False,External-Shading,NZEB,BoilerBaseboard,HeatPump_WaterHeater,2013
495,Suburbs,143,6,3.91,Horizontal-Windows,2.87,3.84,5,3,4,11.27,True,External-Shading,Passive,BoilerBaseboard,Gas_TanklessHeater,2019
496,Suburbs,118,5,4.01,Vertical-Windows,2.5,2.18,4,5,2,8.33,True,External-Shading,NZEB,DHWBaseboard,Electric_TanklessHeater,2016
497,Urban,13,6,2.96,Horizontal-Windows,2.81,3.03,4,5,3,12.6,True,External-Shading,GEG,BoilerBaseboard,HeatPump_WaterHeater,2010
498,Urban,23,10,3.41,Ribbon-Windows,2.96,2.06,4,3,3,9.74,False,Low-SHGC-Value,NZEB,BoilerBaseboard,Gas_TanklessHeater,2016
499,Urban,79,2,2.85,Horizontal-Windows,2.29,2.95,4,3,4,9.3,False,External-Shading,NZEB,ASHPBaseboard,HeatPump_WaterHeater,2010
